sentence,wikidata,label
military auspices on 27 june 1945 near the cave where they died in the last hours of fighting on okinawa,place of death Okinawa,0
shadr died in moscow and in 1952 was awarded the stalin prize posthumously,place of death Moscow,0
"jacob bernoulli's most original work was ars conjectandi published in basel in 1713, eight years after his death",place of death Basel,0
"henry v , born in 1081 or 1086 probably on 11 august,, died 23 may 1125 in utrecht was king of germany from 1099 to 1125 and holy roman emperor from 1111 to 1125, as the fourth and last ruler of the salian dynasty",place of death Utrecht,0
"183 on 23 may 1125, henry died of cancer in utrecht at the age of 39",place of death Utrecht,0
"when he was in danger of death he was restored to health by daniel the stylite, who came to constantinople to see him",place of death Constantinople,0
"hallstein fell ill in early 1980 and died in stuttgart on 29 march 1982, at the age of 80",place of death Stuttgart,0
he was kapellmeister to frederick the great from his ascension to the throne in 1740 until graun's death nineteen years later in berlin,place of death Berlin,0
"his works are rarely played today, though his passion cantata der tod jesu the death of jesus, 1755 was frequently performed in germany for many years after his death",place of death Berlin,0
"beyond oncology, his paper linking psychological stress after an earthquake in athens to increased risk of cardiac death was included in a 1997 list in the lancet of 27 papers deserving to form a core canon of medical literature that every health professional should read",place of death Athens,0
"gesualdo died in isolation, at his castle gesualdo in avellino, three weeks after the death of his son emanuele, his first son by his marriage to maria",place of death Gesualdo,0
"in 1995, werner herzog directed the film gesualdo death for five voices, for zdf television, about the life and music of gesualdo",place of death Gesualdo,0
"thence he passed into russian hands and died in prison at riga in 1807, probably as a result of ill-treatment",place of death Riga,0
kinkaid died at bethesda naval hospital on 17 november 1972 and was buried with military honors at arlington national cemetery on 21 november,place of death Bethesda,0
"a particularly vehement persecutor, the reverend john norton of the boston church, clamored for the law of banishment upon pain of death",place of death Boston,0
"the friends' records of portsmouth, rhode island contain the following entry ""mary dyer the wife of william dyer of newport in rhode island she was put to death at the town of boston with ye like cruil hand as the martyrs were in queen mary's time, and there buried upon ye 31 day of ye 3d mo",place of death Boston,0
"from 29 october to 7 december 1945, an american military tribunal in manila tried general yamashita for war crimes relating to the manila massacre and many atrocities in the philippines against civilians and prisoners of war, and sentenced him to death",place of death Manila,0
samuel daniell born 1775 in chertsey; died in sri lanka on 16 december 1811 was an english painter of natural history and other scenes in africa and ceylon,place of death Sri Lanka,0
"he later on lived in sri lanka, then called ceylon, from 1806 to his death from tropical fever.catalogue of drawings by british artists and artists of foreign origin, pg 17 twelve of his drawings also were published by his brother in 1806 with the title a picturesque illustration of the scenery, animals and native inhabitants of ceylon",place of death Sri Lanka,0
"he settled in fresno, california in 1922 and died five years later in 1927",place of death Chico,0
"in february 1926, andranik left fresno to reside in san francisco in an unsuccessful attempt to regain his health.the fresno bee, death claims famous general, once of fresno, 31 august 1927 according to his death certificate found in the butte county, california records, andranik died from angina on 31 august 1927 at richardson springs, california",place of death Chico,0
"in tam died in chandler, arizona in the southwestern united states",place of death Chandler,0
"he died on 30 april 1854, was honoured by a public funeral, and buried in sheffield general cemetery",place of death Sheffield,0
"during his second crusade, louis died at tunis on 25 august 1270, in an epidemic of dysentery that swept through his army.cross and livingstone, p",place of death Tunis,0
"polidori died in london on 24 august 1821, weighed down by depression and gambling debts",place of death London,0
"frank frazetta died of a stroke on may 10, 2010, in a hospital near his residence in florida",place of death Fort Myers,0
"in march 2020, holly frazetta announced the reopening of the frazetta art museum location in boca grande, florida by appointment only, featuring original conan the barbarian and death dealer works",place of death Fort Myers,0
"when the only lawyer in seattle died in a canoeing accident, maynard studied law and was admitted to the bar in 1856",place of death Seattle,0
"schwind died in pöcking in bavaria, and was buried in the alter südfriedhof in munich",place of death Pöcking,0
hühnlein was the nskk korpsführer from 30 april 1933 until his death in munich on 18 june 1942,place of death Munich,0
"racah died at the age of 56, apparently asphyxiated by gas from a faulty heater while visiting florence",place of death Florence,0
"on april 27, 2013, he died of pneumonia in hospital at kawasaki city",place of death Kawasaki,0
"giuseppe restifo tourism and the history of taormina 1750–1950 2001 apart from the period 1915–18, during the first world war, when he was forced to leave sicily to avoid internment as an enemy alien, he remained in taormina until his death in 1931",place of death Taormina,0
nureyev re-entered the hospital notre dame du perpétuel secours in levallois-perret on 20 november 1992 and remained there until his death from aids complications at age 54 on 6 january 1993,place of death Levallois-Perret,0
he died of pneumonia in bogotá on 18 february 1921,place of death Bogota,0
"he also helped the pittsburgh national bank's affirmative action program as an urban affairs officer until he died at the age of 57 on february 5, 1984, of liver cancer at forbes hospice.""chuck cooper dead at 57; duquesne basketball great"", pittsburgh post-gazette, february 6, 1984",place of death Pittsburgh,0
"king hussein died in amman in 1931 and was buried in jerusalem on the haram esh-sharif or ""temple mount"" in a walled enclosure decorated with white marble and carpets.kaplan, robert d",place of death Amman,0
he died in his sleep of a heart attack at the palace of prince faisal in ta'if on 9 november 1953 2 rabīʿ al-awwal 1373 ah at the age of 78,place of death Ta'if,0
"chan sy died in a moscow hospital, where he was being treated for a cardiac ailment, in december 1984",place of death Moscow,0
"he died of heart failure after a fishing trip on september 16, 1896, in alma, michigan known for its sanitoriums, and was interred in woodlawn cemetery toledo, ohio",place of death Ann Arbor,0
"he died in paris on 11 january 1891, at the age of 82, and was buried in père lachaise cemetery",place of death Paris,0
"marcello malpighi died of apoplexy an old-fashioned term for a stroke or stroke-like symptoms in rome on 29 september 1694, at the age of 66",place of death Rome,0
"maria de lourdes pintasilgo died of cardiac arrest at her home in lisbon on 10 july 2004, aged 74.""portugal mourns much-loved female leader"", euronews, 10 july 2004",place of death Lisbon,0
gojong died suddenly on 21 january 1919 at deoksugung palace at the age of 66,place of death Deoksugung,0
"he died november 6, 1954, at his home in the tuckahoe section of upper township, new jersey, while inspecting the proofs of the american story",place of death Tuckahoe,0
"sterling hayden died of prostate cancer in sausalito in 1986, age 70",place of death Sausalito,0
"two surgeries by doctor wilder penfield of the montreal neurological institute were insufficient to save him, and his death on 11 february drew a radio eulogy by mackenzie king ""in the passing of his excellency, the people of canada have lost one of the greatest and most revered of their governors general, and a friend who, from the day of his arrival in this country, dedicated his life to their service."" the governor general had formed a strong bond with his prime minister, even if it may have been built more on political admiration than friendship mackenzie king appreciated buchan's ""sterling rectitude and disinterested purpose.""",place of death Montreal,0
he died in gordon square in london but his body was returned to glasgow for burial in the family plot at glasgow cathedral,place of death London,0
"on 30 july 1894, pater died suddenly in his oxford home of heart failure brought on by rheumatic fever, at the age of 54",place of death Oxford,0
"he died a few days later, on 22 october 1906 of pneumonia and was buried at the saint-pierre cemetery in his hometown of aix-en-provence",place of death Aix-en-Provence,0
"on the campaign, conrad died of the plague in an imperial military camp near besieged naples",place of death Naples,0
"de lorenzo died in his home in santa barbara, california",place of death Santa Barbara,0
"on december 13, 2018, wilson died at her home in pioneertown, california",place of death Pioneertown,0
"according to ahmet ertegün, prince yi was transferred to hiroshima in 1945, and on 6 august 1945, he was mortally injured by the atomic bomb blast on the way to his office, and died later that day at a medical aid station",place of death Hiroshima,0
"after his career in football ended, he remained in hartlepool becoming a publican until his death on 5 may 1922",place of death Hartlepool,0
"back in vienna the following month, he gave the official conclusion that she was healthy; however, the death of anna de' medici mother of his late second wife, forced the emperor to suspended the negotiations",place of death Vienna,0
"eleonore magdalene, dowager holy roman empress died on 19 january 1720 aged 65, and four months later, on 24 may, she was buried at the imperial crypt in vienna",place of death Vienna,0
"wang died on 13 july 2019 at the peking union medical college hospital in beijing, at the age of 88",place of death Beijing,0
"rankin died of prostate cancer on january 15, 1991 in kennebunkport, maine",place of death Kennebunkport,0
"he died in taipei in 1995, leaving dozens of disciples in top academic jobs in taiwan and hong kong.jason clower, ""mou zongsan mou tsung-san ,"" internet encyclopedia of philosophy",place of death Taipei,0
he died of kidney failure in jakarta army hospital on 21 june 1970 at age 69,place of death Jakarta,0
"he died at his home right outside of baltimore, in towson, maryland",place of death Towson,0
"he died in egypt on december 12, 1204, whence his body was taken to the lower galilee and buried in tiberias.gedaliah ibn yahya ben joseph, shalshelet ha-kabbalah jerusalem 1962, p",place of death Cairo,0
abbado died of stomach cancer in bologna on 20 january 2014 at the age of 80,place of death Bologna,0
"hummel later held the positions of kapellmeister in stuttgart from 1816 to 1819 and in weimar from 1819 to 1837, where he formed a close friendship with goethe, learning among other things to appreciate the poetry of schiller, who had died in 1805",place of death Weimar,0
"composing less and less, but still highly respected and admired, hummel died peacefully in weimar in 1837",place of death Weimar,0
pope boniface i was the bishop of rome from 28 december 418 to his death on 4 september 422,place of death Rome,0
"on 12 august 2019, tsao died in singapore at the age of 94 from kidney failure",place of death Singapore,0
"many historiansincluding howard-johnson, cameron, and greatrexdate his death to 554, but there was an urban prefect of constantinople called procopius in 562",place of death Constantinople,0
"ultimately, however, umberto died in geneva and was interred in hautecombe abbey, for centuries the burial place of the members of the house of savoy.roy palmer domenico, remaking italy in the twentieth century, rowman and littlefield publishers inc., 2002, 101-102",place of death Geneva,0
"the morning after john's death huge numbers of townspeople in úbeda entered the monastery to view his body; in the crush, many were able to take home bits of his habit",place of death Úbeda,0
"he died in tompkinsville on june 11, 1825, 99 days after leaving office, and was interred in the minthorne vault in the west yard of st",place of death Tompkinsville,0
"he died in october 1792 and mary payne initially made ends meet by opening a boardinghouse, but the next year she took her two youngest children, mary and john, and moved to western virginia to live with her daughter lucy and her new husband, george steptoe washington, a nephew of george washington","place of death Washington, D.C.",0
"she died at her home in washington in 1849, at the age of 81","place of death Washington, D.C.",0
"forbes died of pneumonia on october 12, 1898 in milton, massachusetts",place of death Milton,0
"he died in leiden in the netherlands in 1609, at the age of 83",place of death Leiden,0
"he died at the château de bourdonné in seine-et-oise on 3 october 1905, having completed his critical edition of andré chénier's works",place of death Bourdonné,0
"ercilla's later years were saddened by the loss of his only son, and his own death occurred in madrid in 1594",place of death Madrid,0
"starting in 1972, he taught composition and ethnomusicology at the istanbul municipal conservatory renamed ""turkish music state conservatory"" in 1986 until his death in 1991",place of death Istanbul,0
"although mir baba met with alimqul, he did not have a chance to deliver the presents alimqul was wounded and died when defending tashkent against the russians in may 1865",place of death Tashkent,0
"until his death he earned a living as a back-desk violinist in the athens conservatory, radio and opera orchestras",place of death Athens,0
"although during the period 1931–34 skalkottas did not compose anything, he resumed composing in athens and continued until his death",place of death Athens,0
he died in the village of manziana near rome and is buried at the cimitero acattolico there,place of death Manziana,0
he died in baltimore in 1890 and is buried in spring hill cemetery in easton,place of death Baltimore,0
"in february 1929, after some weeks of heart disease, she died at the royal palace in madrid and is buried at el escorial",place of death Madrid,0
